,Language,Framework,Database,OS,Platform,Others
,,,,,,"""j2ee"",""jquery"",""monitoring""),""java"",""dast"",""nessus"",""angular"",""compliance"",""spring"",""threat modeling"",""struts"",""sast"",""security"",""communication"",""angularjs"",""ip"""
" ""Business Requirements""",,,,,,"""pl,""computer science"",""business analysis"",""node.js"",""c++"",""ansible"",""business process"",""scrum"",""business requirements"",""hibernate"",""perl"",""jenkins"",""websphere"",""java"",""j2ee"",""sql"",""apis"",""testing"",""automation"",""android"",""ios"",""servers"",""unix"",""analysis"",""networking"",""rest"",""web applications"",""postgresql"",""c"",""servlets"",""usability"",""algorithms"",""sonarqube""),""management"",""shell scripting"",""json"",sql"",""scripting"",""product management"",""weblogic"",""graphql"",""jira"",""soap"",""communication"",""xml"",""web services"""
