,Language,Framework,Database,OS,Platform,Others
273,"c#,java,sql,python",spring,mongodb,,linux,"consulting,.net core,web applications,testing,.net,management,unit testing,sdlc,communication,research,computer science,scripting"
274,javascript,react.js,,,,"react native,wireframes,security,research,design thinking,.net,sketch,html5,ajax,invision,scripting,user-centered design,css,user interface,business requirements,scalability"
275,,,,,"kubernetes,linux,docker","terraform,monitoring,communication,problem solving,amazon web services,computer science,devops,databases,chef,web services,testing,cloudformation,product development,datadog,puppet"
276,,,,,,"manual testing,restore,communication,computer hardware,customer service,it management,antivirus,microsoft excel,windows server,microsoft word,technical writing,backup"
277,"javascript,java",,,,,"management,microsoft office,computer science,customer service,troubleshooting,sharepoint"
278,,,,,,"user experience,a,research,market research,contextual inquiry,ecommerce,communication,reach,usability,strategy,b testing,testing,user research,human computer interaction"
279,java,react.js,"mongodb,redis,cassandra",,kubernetes,"node.js,apache spark,microservices,communication,ui development,amazon web services,html5,angular,css,angularjs,html,kafka"
280,java,,,,"kubernetes,linux,docker","cd,integration,sdlc,circleci,ci,amazon web services,devops,troubleshooting,scripting,cicd,kafka,automation"
281,python,,,,,"perl,bash,systems engineering,red hat,powershell,puppet"
282,"php,sql,c#,python,java",react.js,,,,"node.js,management,.net,software architecture,leadership,team leadership,agile methodologies,engineering management"
283,,,,,,"program management,pmp,scrum,project management"
284,javascript,react.js,,,,"ui development,redux,continuous integration"
285,c#,asp.net,mysql,,"kubernetes,docker",".net core,.net,amazon web services,mvc,nosql"
286,c#,,mysql,,"kubernetes,docker",".net core,amazon web services,entity framework,mvc,rabbitmq,nosql"
287,javascript,,,,,"salesforce marketing cloud,salesforce.com,salesforce lightning,oracle apex,agile methodologies"
288,swift,,,,ios,test driven development
289,c#,,,,,".net core,.net"
290,sql,,microsoft sql server,,,"user experience,integration,bloomberg,performance testing,testing,jira,sql server,jenkins,qa engineering,analysis,scrum,test cases,agile methodologies,continuous integration,automation,sdlc,confluence,leadership,soapui,postman,quality assurance,git,finance,monitoring,computer science,test case,bamboo"
291,"python,sql",,microsoft sql server,,,"user experience,integration,bloomberg,performance testing,testing,jira,sql server,jenkins,qa engineering,analysis,test cases,continuous integration,agile methodologies,scrum,automation,sdlc,confluence,selenium,soapui,postman,quality assurance,git,finance,monitoring,computer science,test case,bamboo"
292,sql,,,,,"analysis,monitoring,communication,management,appdynamics,computer science,statistics,trading,saas,troubleshooting,tomcat,splunk,scalability,t-sql,analytics"
293,,,,,,"integration,mulesoft,salesforce lightning,apis,etl"
294,,,mongodb,,"kubernetes,docker","node.js,amazon web services,angularjs"
295,,,,,,"software architecture,pega,agile methodologies,ui development"
296,javascript,react.js,,,,
297,"php,java,typescript,sql,javascript",react.js,"oracle,mysql",,,"apis,integration,web applications,web services,css,angularjs,web development,open source,sql server,node.js,management,continuous integration,windows azure,analytics,sdlc,servlets,coldfusion,rest,debugging,git,business intelligence,angular,json"
298,"javascript,java,sql,python",,oracle,,,"apis,integration,web services,testing,etl,qa engineering,continuous integration,functional testing,automation,communication,devops,databases,system testing,scripting,teamwork"
299,c#,,,,,"apis,integration,rest,web services,mulesoft,design patterns,.net"
300,"ruby,javascript,c#,java,sql,python,sql",asp.net,,,,"integration,release management,web services,css,sql server,analysis,soap,pl,management,html,windows azure,communication,customer service,devops,databases,rest,debugging,computer science"
301,,,,,"kubernetes,linux,docker","ubuntu,terraform,prometheus,devops,ansible,centos,jenkins"
302,javascript,,,,,"ui development,node.js,angularjs"
303,"ruby,python",,,,linux,"perl,consulting,centos,monitoring,jenkins,management,chef,scripting,red hat,ansible,disaster recovery,automation,puppet"
304,c#,,,,,".net,windows azure"
305,,,,,,"testng,testing,white box,black box testing,test case,uft (unified functional testing,test planning,test automation,user acceptance testing,mobile testing"
306,"javascript,c#,java,sql,python",,oracle,windows,linux,"apis,integration,process improvement,safe,testing,jira,open source,shell scripting,scalability,groovy,jenkins,qa engineering,change management,management,compliance,continuous integration,saas,scrum,functional testing,centos,automation,security,communication,testng,leadership,test automation,rest,selenium,debugging,postman,enterprise software,firefox,scripting,waterfall,perl,bash,computer science,usability,test case,ansible,r&d,wireshark"
307,,,,,,amazon web services
308,,jquery,,,,"wireframes,user experience,css,persona,user research,adobe creative suite,analysis,business strategy,rapid prototyping,artificial intelligence,analytics,product design,business development,interaction design,strategy,design strategy,user interface,mobile design,html,indesign,research,invision,user-centered design"
309,"javascript,c#,java,python",react.js,,,,"react native,node.js"
310,"javascript,c#,java,python",react.js,,,,"coldfusion,node.js"
311,java,react.js,,,,"node.js,.net,amazon web services,devops,chef,ansible,microservices,jenkins"
312,java,react.js,,,,"springboot,amazon web services,devops,chef,angular,microservices,jenkins"
313,"java,scala",,,,,"springboot,amazon web services,angular,microservices,spring mvc"
314,"javascript,java",react.js,,,,"amazon web services,angular,angularjs"
315,"javascript,php",,,,wordpress,"analysis,sdlc,requirements analysis,cms,html5,css,html"
316,,,,,,"risk management,information security,security,management,incident response,network security,compliance"
317,"typescript,java",,,,,angular
318,"java,sql",,,,,"machine learning,integration,problem solving,multithreading,computer science,distributed systems,devops,databases,troubleshooting,jvm,debugging,testing,saas,scrum"
319,sql,,"cassandra,oracle,postgresql",,,"cloudwatch,security compliance,jira,spark ml-lib,open source,etl,apache spark,analysis,unix,management,sqoop,compliance,performance tuning,security,data analysis,communication,hadoop,t-sql,monitoring"
320,,,,,,"cybersecurity,incident detection,networking"
321,,,,,,"salesforce marketing cloud,salesforce.com,mulesoft,enterprise architecture,salesforce service cloud"
322,sql,,,,,"business analysis,agile methodologies,sap"
323,,,,,,"citrix,windows server,itil"
324,,,,,,"communication,security,sap,strategy,scripting,sap hana,storage,kernel"
325,sql,,"cassandra,oracle,postgresql",,,"cloudwatch,security compliance,jira,open source,etl,analysis,unix,management,sqoop,compliance,performance tuning,security,data analysis,communication,hadoop,t-sql,monitoring"
326,java,,,,,"pega,soap,rest,testing,business requirements,quality assurance"
327,javascript,jquery,,,,"pega,security,ajax,css,scrum"
328,"sql,java","react.js,spring","cassandra,oracle,redis",,kubernetes,"statistics,angularjs,open source,microservices,analysis,unix,kafka,analytics,communication,data analysis,computer science,angular"
329,java,,,,,"cucumber,analysis,xml,ecommerce,management,multithreading,test case,test automation,rest,web services,selenium,testing,business requirements,quality assurance,automation"
330,java,,oracle,windows,linux,"integration,technical support,troubleshooting,performance testing,oracle database,data architecture,testing,data warehousing,storage,analysis,unix,sap,performance tuning,disaster recovery,automation,kernel,security,communication,databases,strategy,optimization,monitoring,business objects,problem solving,scripting,sap hana,abap"
331,"java,sql",,oracle,,,"maven,web applications,troubleshooting,big data,web services,jira,web development,subversion,jenkins,storage,analysis,unix,management,jdbc,kafka,analytics,security,hadoop,tomcat,git,optimization,business intelligence,jsp,data analysis,teradata"
332,"c,sql",,oracle,,linux,"troubleshooting,big data,jira,jenkins,storage,analysis,unix,management,analytics,security,data analysis,hadoop,git,optimization,business intelligence,bash,teradata"
333,"java,sql,python",,"cassandra,oracle",,linux,"troubleshooting,big data,web applications,jira,jenkins,storage,analysis,unix,management,hbase,kafka,analytics,security,hadoop,git,optimization,business intelligence,data analysis,teradata"
334,"javascript,ruby,python",,,,,"html5,rest,json"
335,,,,,,network administration
336,sql,,oracle,,,pl
337,,,,,,"adobe analytics,product development,ecommerce,digital strategy,google analytics,marketing,strategy,user-centered design,business strategy,analytics"
338,sql,,"mongodb,oracle",,,"sybase,quality assurance"
339,java,,mongodb,,linux,"unix,nosql,object oriented design,jsf"
340,,,,windows,,"restore,network administration,communication,information technology,computer hardware,microsoft office,customer service,crm,networking,backup"
341,"sql,c++,c#,c",asp.net,oracle,,"android,ios","access,visual basic,sql server"
342,sql,,oracle,,,"pl,data analysis,energy,power management"
343,"sql,javascript,c++,java",,microsoft sql server,,,"analysis,db2,ssis,.net,databases,visual basic"
344,,,,,kubernetes,"terraform,restore,amazon web services,data center,scripting,web applications,cloudformation,san,dockerswarm,nas,windows azure,backup,infrastructure management"
345,,,,,,cloud computing
346,"javascript,scala,java,sql","jquery,spring","elasticsearch,cassandra",,"linux,docker","maven,web services,nosql,open source,shell scripting,microservices,jenkins,unix,amazon web services,agile methodologies,hbase,kafka,eclipse,gradle,hadoop,red hat openshift,rest,git,spring mvc,solr,scripting,angular"
347,java,"spring,react.js",,,,"apache spark,soap,springboot,j2ee,rest,json"
348,,,,,,"hadoop,management,data warehousing,data architecture,apache hive,etl"
349,c#,asp.net,,,,"apis,.net core,.net,rest,iaas,design patterns,web applications,paas,agile methodologies,windows azure,microservices"
350,"javascript,c++,c#,java","react.js,jquery",,,,"web applications,product management,css,analysis,management,redux,agile methodologies,html,scrum,ecommerce,digital marketing,monitoring,computer science,marketing,angular"
351,c#,asp.net,,,,"apis,application development,distributed systems,testing,business requirements,enterprise architecture,soap,xml,scrum,strategy,leadership,rest,computer science,wcf,design patterns,json,product development,visual studio,.net"
352,,,,,,"visual design,communication,design thinking,usability,information architecture,wireframes,r&d"
353,"javascript,c#,java,sql",asp.net,mongodb,windows,,"integration,web applications,troubleshooting,web services,testing,requirements gathering,sql server,xamarin,analysis,.net,html5,iis,illustrator,security,visual studio,communication,vb.net,cms,mobile applications,web design"
354,"c++,java",,,,,
355,java,spring,,,,"object oriented programming,software architecture,j2ee,splunk,guidewire,testing,agile methodologies,open source,scrum"
356,,,,windows,,"active directory,computer hardware,customer service,trading"
357,,,,,,"cybersecurity,information security,security compliance,network security,cissp"
358,"scala,sql,python,java",,,,,"data mining,statistics,pytorch,big data,business requirements,simulations,data warehousing,spark ml-lib,analysis,algorithms,management,tensorflow,deep learning,artificial intelligence,analytics,communication,hadoop,decision trees,neural networks,machine learning,research,optimization,keras,data analysis,computer science,clustering"
359,java,,,,,"hibernate,gradle,confluence,management,jboss application server,chef,jira,agile methodologies,git,jenkins"
360,,,,,linux,"ccna,cisco technologies"
361,"javascript,c#,java",react.js,,,,".net,html5,angular,css,angularjs,html,node.js"
362,python,,,,,"network architecture,troubleshooting,dns,testing,analysis,rf,routers,networking,cisco technologies,automation,data analysis,wireless,firewalls,snmp,system testing,optimization,monitoring,servers,switches,lan,wireshark,wireless networking"
363,,,,,,"teradata,big data"
364,,,,,,"analysis,research,computer hardware,computer science,databases,database development,sharepoint"
365,,,,,,amazon web services
366,java,,,,,"hibernate,gradle,confluence,jboss application server,chef,agile methodologies,git,jenkins"
367,"java,scala,python",,,,,"amazon web services,big data"
368,python,,,windows,,"vmware,active directory,unix,windows server,servers,devops,routers,networking,firewalls,troubleshooting,microsoft exchange,virtualization,cisco technologies,data center,automation,disaster recovery"
369,"javascript,c++,scala,python",,,,"kubernetes,docker","apis,rest,angular"
370,,,,,docker,"terraform,data analysis,jenkins,hadoop,amazon web services,devops,web services,iaas,paas,ansible,automation"
371,"javascript,python","jquery,ruby on rails","redis,postgresql",,"docker,google cloud platform","cd,terraform,bootstrap,microservices,jenkins,cicd,command line interface (cli,ubuntu,amazon web services,html5,windows azure,memcached,automation,ci,devops,bash,chef,polymer,ansible,puppet"
372,,,,,"kubernetes,docker","solution architecture,software architecture,problem solving,distributed systems,blockchain,design patterns"
373,sql,,,,,"devops,security,pl,operations management,togaf,management,ssis,firewalls,networking,compliance,virtualization,saas,etl"
374,python,,,,,"cloud computing,nosql"
375,,,,,,"business development,scrum,communication,spanish,french,project planning,team leadership,project management,pmo,account management"
376,,,,,"kubernetes,linux,docker","cloudfoundary,unix,cloud computing,kafka"
377,java,react.js,,,,"react native,springboot,.net core,.net,angular"
378,"java,kotlin",react.js,,,,".net core,.net,angular"
379,,,,,,"pair programming,agile methodologies,bdd,leadership"
380,,,,windows,,"automation,sccm,testing,powershell,qa engineering,mobile devices,vmware,change management,management,user acceptance testing,active directory,communication,test automation,citrix,mac,quality assurance,scripting,virtualization"
381,sql,,,,,"analysis,optimization,monitoring,data analysis,unix,management,teradata,scripting,big data,web services,business requirements,kafka,shell scripting,etl,analytics"
382,,,,,"kubernetes,docker","analysis,solution architecture,communication,system design,software architecture,problem solving,computer science,distributed systems,blockchain,design patterns,data structures"
383,c++,,,,,"video game design,gaming"
384,javascript,"react.js,jquery","mongodb,mysql",,,"bootstrap,html5,node.js"
385,,,,,,"salesforce service cloud,salesforce.com,salesforce lightning,salesforce marketing cloud"
386,,,,,,"consulting,business intelligence,management,leadership,tableau,analytics"
387,"java,kotlin,python",,,,android,
388,"r,python",,,,,"business intelligence,management,data warehousing,etl,analytics"
389,,,microsoft sql server,,,"windows server,iis,sharepoint,powershell"
390,,,,,,"cd,devops,sdlc,security,ci,amazon web services,ansible,cicd"
391,c#,,,,,"xhtml,.net,ic,iis,css,html,sharepoint"
392,"sql,javascript,c#",,,,,"visual studio,.net,mvc,css,html"
393,"javascript,vba,c#",jquery,,,,"xhtml,xml,xslt,.net,css,vb.net,html,sql server,sharepoint"
394,"sql,javascript,c#",,,,,"object oriented programming,tfs,problem solving,.net,computer science,.net core,angular,sql server"
395,,,,,,"business intelligence,consulting,qlikview,communication"
396,,,,,,"data science,business intelligence,communication,big data,data architecture,data warehousing,amazon web services,windows azure,artificial intelligence"
397,"javascript,java",,,,,"apis,devops,agile methodologies,splunk,kafka"
398,"sql,javascript","asp.net,jquery",,,,"visual design,management,product management,css,vb.net,html,sql server"
399,"python,sql",,microsoft sql server,windows,,"technical support,troubleshooting,testing,sql server,powershell,analysis,windows server,management,networking,microsoft exchange,automation,active directory,security,servers,computer science,usability,system administration,scripting"
400,,,,,,"jira,scrum,communication,information technology,management,confluence,computer science,leadership,product development,agile methodologies,saas"
401,,,,,,"scrum,communication,information technology,confluence,computer science,leadership,jira,agile methodologies,product development"
402,"java,sql,c#",spring,postgresql,,,"soap,hibernate,amazon web services,management,computer science,trading,cloud computing,rest,testing,open source,scrum,apache,trading systems"
403,java,react.js,,,,
404,javascript,,,,,"wireframes,visual studio,research,application development,ui development,.net,interaction design,sass,html5,css,html"
405,"java,sql,c#",spring,postgresql,,,"soap,hibernate,amazon web services,management,computer science,trading,cloud computing,rest,testing,open source,scrum,apache,trading systems"
406,"java,sql,c#",spring,postgresql,,,"soap,hibernate,amazon web services,management,computer science,trading,cloud computing,rest,testing,open source,scrum,apache,trading systems"
407,"c#,sql,java",spring,postgresql,,,"trading,cloud computing,testing,open source,soap,hibernate,management,object oriented design,saas,scrum,apache,rest,trading systems,computer science"
408,sql,,microsoft sql server,windows,,"troubleshooting,dns,esxi,scalability,powershell,storage,vmware,analysis,windows server,disaster recovery,active directory,security,databases,saas,vlan,perl,monitoring,servers,computer science,system administration,scripting,virtualization,clustering,data center"
409,"sql,java",,microsoft sql server,windows,docker,"integration,vpn,appdynamics,cloud computing,terraform,jira,sql server,powershell,scalability,subversion,storage,vmware,analysis,windows server,amazon web services,management,networking,iis,performance tuning,saas,disaster recovery,automation,active directory,security,confluence,databases,tomcat,git,perl,monitoring,computer science,chef,scripting,virtualization,clustering,ansible,data center,puppet"
410,,,,,,"business analysis,scrum,communication,management,customer service,leadership,enterprise software,product management,agile methodologies"
411,,,,,,"business analysis,scrum,communication,management,customer service,leadership,enterprise software,product management,agile methodologies"
412,sql,,microsoft sql server,,,"analysis,monitoring,database design,technical support,databases,saas,systems engineering,jira,splunk,sql server,scalability,storage"
413,sql,,,,,"analysis,perl,data analysis,management,amazon web services,databases,systems engineering,scripting,scalability,storage,clustering,jira,saas,splunk,powershell,analytics"
414,javascript,asp.net,,,,"cd,troubleshooting,css,powershell,analysis,tfs,xml,management,.net,compliance,html,windows azure,communication,ci,devops,git,computer science,scripting,json,cicd"
415,,,,windows,,"network architecture,systems engineering,routers,compliance,active directory,security,communication,customer service,firewalls,vulnerability,antivirus,enterprise software,bug tracking,ip,ip,information technology,computer hardware,problem solving,computer science,tcp,switches,servers,defect tracking"
416,"sql,javascript,c#",asp.net,,,,"asp.net web api,public trust clearance,consulting,computer science,compliance,angularjs,sql server,t-sql"
417,"ruby,javascript,java","ruby on rails,react.js",,,,"analysis,application development,computer science,angular,testing,angularjs,web development,business process,performance tuning,itil,node.js"
418,sql,,,,,"analysis,perl,data analysis,management,amazon web services,databases,systems engineering,scripting,scalability,storage,clustering,jira,saas,splunk,powershell,analytics"
419,"javascript,sql,ruby,c#",,,,docker,"ado.net,database design,.net,computer science,.net core,devops,visual c#,angular,testing,angularjs,performance tuning,t-sql,automation"
420,sql,,microsoft sql server,,,"analysis,monitoring,database design,technical support,databases,saas,systems engineering,jira,splunk,sql server,scalability,storage"
421,,,,,,"business analysis,scrum,communication,management,customer service,leadership,enterprise software,product management,agile methodologies"
422,,,,,,"business analysis,scrum,communication,management,customer service,leadership,enterprise software,product management,agile methodologies"
423,"sql,java",,microsoft sql server,windows,docker,"integration,vpn,appdynamics,cloud computing,terraform,jira,sql server,powershell,scalability,subversion,storage,vmware,analysis,windows server,amazon web services,management,networking,iis,performance tuning,saas,disaster recovery,automation,active directory,security,confluence,databases,tomcat,git,perl,monitoring,computer science,chef,scripting,virtualization,clustering,ansible,data center,puppet"
424,sql,,microsoft sql server,windows,,"troubleshooting,dns,esxi,scalability,powershell,storage,vmware,analysis,windows server,disaster recovery,active directory,security,databases,saas,vlan,perl,monitoring,servers,computer science,system administration,scripting,virtualization,clustering,data center"
425,"c#,sql,java",spring,postgresql,,,"trading,cloud computing,testing,open source,soap,hibernate,management,object oriented design,saas,scrum,apache,rest,trading systems,computer science"
426,"java,sql,c#",spring,postgresql,,,"soap,hibernate,amazon web services,management,computer science,trading,cloud computing,rest,testing,open source,scrum,apache,trading systems"
427,,,,,,"scrum,communication,information technology,confluence,computer science,leadership,jira,agile methodologies,product development"
428,,,,,,"jira,scrum,communication,information technology,management,confluence,computer science,leadership,product development,agile methodologies,saas"
429,"python,sql",spring,microsoft sql server,,,"user experience,integration,bloomberg,performance testing,testing,jira,sql server,qa engineering,analysis,test cases,unit testing,agile methodologies,scrum,automation,sdlc,confluence,selenium,soapui,postman,junit,quality assurance,git,finance,monitoring,computer science,test case,scripting,bamboo,nunit"
430,"java,sql,c#",spring,postgresql,,,"soap,hibernate,amazon web services,management,computer science,trading,cloud computing,rest,testing,open source,scrum,apache,trading systems"
431,sql,,,,,"analysis,monitoring,communication,management,appdynamics,computer science,statistics,trading,saas,troubleshooting,tomcat,splunk,scalability,t-sql,analytics"
432,"java,sql,scala",,,,,"apache spark,springboot,amazon web services,nosql,kafka,windows azure"
433,sql,,microsoft sql server,,,"user experience,integration,bloomberg,performance testing,testing,jira,sql server,jenkins,qa engineering,analysis,scrum,test cases,agile methodologies,continuous integration,automation,sdlc,confluence,leadership,soapui,postman,quality assurance,git,finance,monitoring,computer science,test case,bamboo"
434,"r,scala,python,java",,oracle,,,"big data,testing,jira,jenkins,analysis,telecommunications,microsoft office,user acceptance testing,hbase,analytics,communication,hadoop,databases,devops,machine learning,predictive modeling,data analysis,computer science,teradata,tableau"
435,"python,sql",,microsoft sql server,,,"user experience,integration,bloomberg,performance testing,testing,jira,sql server,jenkins,qa engineering,analysis,test cases,continuous integration,agile methodologies,scrum,automation,sdlc,confluence,selenium,soapui,postman,quality assurance,git,finance,monitoring,computer science,test case,bamboo"
436,javascript,,,,,"wireframes,visual studio,research,application development,ui development,.net,interaction design,sass,html5,css,html"
437,"python,sql",,microsoft sql server,windows,,"technical support,troubleshooting,testing,sql server,powershell,analysis,windows server,management,networking,microsoft exchange,automation,active directory,security,servers,computer science,usability,system administration,scripting"
438,"sql,javascript","asp.net,jquery",,,,"visual design,management,product management,css,vb.net,html,sql server"
439,java,spring,,,,"apis,xhtml,node.js,security,management,html5,gulp,project management,compliance,angular,system architecture,microservices,git,soa"
440,"ruby,javascript,c++,c#,java,python",,,,,"integration,cloud computing,testing,groovy,storage,management,continuous integration,windows azure,devops,iaas,operating systems,bash,chef,scripting,virtualization,paas,ansible,puppet"
441,,,,,,"cd,application development,cicd,management,ci,chef,puppet,operating systems,scripting,bamboo,virtualization,paas,ansible,windows azure,powershell,jenkins,storage"
442,ruby,,oracle,windows,linux,"active directory,vpn,monitoring,communication,servers,management,amazon ec2,chef,cloud computing,dns,scripting,teamwork,red hat,powershell"
443,"python,javascript,java",,,,,.net
444,,,,,,"cybersecurity,data analysis,tcp,networking,ip"
445,,,,windows,,"cybersecurity,active directory,information security,vmware"
446,"r,scala,python",,,,,big data
447,,,,,,"cybersecurity,integration,security,communication,management,computer science,ms project,project planning,project management,leadership,systems engineering,microsoft excel,powerpoint,enterprise architecture"
448,,,,,,"cybersecurity,consulting,sailpoint,threat intelligence,troubleshooting,cloud computing,systems engineering,web services,analysis,management,security+,amazon web services,windows azure,active directory,security,information security,communication,leadership,gcih,cisa,pki,computer science,gced,powerpoint,nessus,casp,cissp"
449,"c#,sql,java",spring,"oracle,mysql",,docker,"apis,hudson,static analysis,object oriented programming,maven,systems engineering,testing,jira,jenkins,latex,analysis,.net,management,unit testing,project management,agile methodologies,automation,security,communication,devops,junit,git,sharepoint,computer science,bamboo,ant"
450,,,,windows,linux,"cybersecurity,sailpoint,ldap,troubleshooting,systems engineering,threat intelligence,analysis,unix,management,active directory,security,information security,communication,pki,computer science,powerpoint,nessus,casp"
451,,,,,,"avaya,software architecture,telecommunications,cisco technologies"
452,java,,,,,"oracle cloud,devops,j2ee,rest,angularjs,microservices,spring mvc"
453,,,,,,"system testing,regression testing,analysis,sdlc,testing,management,problem solving,scripting,compliance,selenium,protractor,debugging,junit,business process"
454,javascript,,,,docker,"eclipse,analysis,maven,communication,jenkins,amazon web services,angular,angularjs,html,node.js"
455,java,,,,docker,"node.js,security,maven,hibernate,eclipse,analysis,management,amazon web services,communication,junit,microservices,jenkins,soa"
456,,,,,,"analysis,consulting,options,communication,management,strategy,sas,problem solving,customer service,compliance,business requirements,fraud"
457,,,,windows,,"vmware,user experience,technical support,sccm,troubleshooting,visual basic,scripting,vb.net,mac,.net,powershell"
458,java,,elasticsearch,,"linux,docker,kubernetes","troubleshooting,testing,apache spark,management,scrum,kafka,apache,kernel,communication,databases,strategy,leadership,tomcat,regression testing,machine learning,monitoring,computer science"
459,"sql,javascript,python",,,,,"machine learning,hadoop,html5,nosql,tableau,pandas"
460,,,,,,"devops,terraform,amazon web services,cloud computing,cloudformation,ansible"
461,,,,,wordpress,"adobe creative suite,html5,mobile applications,css"
462,"java,swift",spring,redis,,"android,ios,kubernetes","react native,analysis,communication,system design,springboot,computer science,j2ee,data structures"
463,"java,sql,javascript","jquery,spring,express",,,linux,"integration,application development,web applications,jpa,web services,css,jira,web development,cloudformation,jenkins,hibernate,management,mvc,project management,html,centos,automation,communication,databases,rest,problem solving,angular,robotics"
464,"java,swift",spring,redis,,"ios,kubernetes","react native,analysis,communication,system design,springboot,computer science,j2ee,rabbitmq,data structures"
465,ruby,,,,linux,"troubleshooting,testing,scalability,jenkins,powershell,vmware,management,unit testing,networking,sox,compliance,scrum,automation,security,information security,communication,pci,git,bash,chef,scripting,virtualization,ansible,salt,technical writing,puppet"
466,sql,,,,,"hadoop,ab initio,data warehousing,etl"
467,"java,scala",,cassandra,,,"terraform,amazon web services,chef,nosql,ansible,puppet"
468,,,"oracle,mysql",,,"monitoring,management,databases,troubleshooting,oracle database,clustering"
469,c#,asp.net,,,"android,ios","asp.net web api,mobile application development,xamarin"
470,,,,,,"application development,communication,management,software architecture,computer science,agile methodologies,strategy,networking,cloud computing,leadership,business strategy,enterprise software"
471,javascript,,,,,"bdd,devops,css,express.js,scrum,git"
472,c#,,,,,"integration,tfs,communication,management,problem solving,test case,test automation,scripting,selenium,testing,json,.net,quality assurance,git,automation"
473,,,,,,"user experience,change management,release management,test cases,management,communication,servicenow,strategy,safe,project management,user acceptance testing,business requirements,workday,requirements gathering,business process,finance"
474,,,,,,"technical support,powershell,analysis,sccm"
475,,,,,,"node.js,bdd,ui development,css,angularjs,express.js"
476,python,,,,,"apache hive,amazon web services,mapreduce"
477,,,,,,"process improvement,monitoring,testing,business requirements,business process"
478,"sql,java","jquery,spring","cassandra,mongodb",,linux,"application development,web services,nosql,css,soap,unix,performance tuning,databases,rest,git,computer science,angular,apigee"
479,java,,cassandra,,,"analysis,monitoring,xml,wireless,communication,management,db2,computer science,cobol,data structures"
480,"r,scala,python,java",,oracle,,,"big data,testing,jira,jenkins,analysis,telecommunications,microsoft office,user acceptance testing,hbase,analytics,communication,hadoop,databases,devops,machine learning,predictive modeling,data analysis,computer science,teradata,tableau"
481,java,react.js,,,,"wireframes,web services,testing,web development,subversion,node.js,analysis,algorithms,unix,management,unit testing,object oriented design,html,scrum,communication,devops,databases,quality assurance,data structures,git,middleware,problem solving,computer science,angular"
482,"kotlin,java",,,,android,"wireframes,web services,testing,subversion,analysis,algorithms,unix,management,unit testing,object oriented design,scrum,communication,devops,databases,quality assurance,data structures,git,middleware,problem solving,computer science,mobile applications"
483,"c,objective-c,swift",,,,ios,"wireframes,web services,testing,subversion,devops,analysis,algorithms,unix,management,unit testing,object oriented design,scrum,communication,databases,quality assurance,data structures,git,middleware,problem solving,computer science,mobile applications"
484,"go,php",,,,,"amazon web services,microservices"
485,,,,,,"product design,product management,product development"
486,"java,python",spring,"mongodb,cassandra",,,"apache spark,maven,gradle,ecommerce,computer science,leadership,product management,big data,rest,json,presto,apache hive,kafka"
487,"javascript,java","react.js,spring","elasticsearch,cassandra,mongodb,oracle,redis,mysql",,,"apis,web services,nosql,node.js,jenkins,apache spark,algorithms,amazon web services,scrum,kafka,rabbitmq,apache,devops,databases,selenium,data structures,middleware,cucumber,chef,akka,puppet"
488,,,,,,"wan,monitoring,management"
489,,,,,,"analysis,devops,sdlc,information technology,management,computer science,compliance,jira,itil"
490,,,,,android,"devops,communication,selenium,testing,mobile testing,appium,automation"
491,,,,,,"testing,salesforce service cloud,salesforce.com,business requirements"
492,java,"spring,react.js",,,,"hibernate,communication,springboot,nosql,angularjs,phoenix"
493,"sql,javascript,php","vue.js,laravel",,,,"apis,amazon web services,rest,pci"
494,,,,,,"business analysis,process improvement,monitoring,testing,business requirements,business process"
495,,,,,,"cybersecurity,risk management,security compliance,management,sox,saas,amazon web services,security,information security,communication,encryption,strategy,authentication,leadership,vulnerability,pci,iaas,gsec,splunk,cisa,nist,paas,cissp"
496,,,,,,"integration,computer science,automation,peoplesoft,testing,workday,finance"
497,,,,,,"user experience,wireframes,adobe creative suite,product design,sketch,user-centered design,mobile design,figma,rapid prototyping"
498,"java,scala",,mongodb,,,"apis,apache spark,software architecture,amazon web services,distributed systems,angular,nosql,microservices,soa"
499,python,,,,,"power bi,machine learning,management,strategy,cloud computing,big data,pricing,tableau,data architecture,artificial intelligence"
500,"sql,javascript,python",,,,,"vmware,hyperv,bash,amazon web services,jira,windows azure,git,jenkins"
501,c#,,,,,"integration,computer science,unit testing,test automation,selenium,testing,product development,continuous integration,.net,scalability,automation"
502,"javascript,c#",asp.net,,,,"integration,application development,.net core,web applications,web services,css,testing,business requirements,powershell,mobile devices,analysis,algorithms,.net,html5,unit testing,mvc,windows azure,automation,security,devops,databases,strategy,rest,iaas,git,business intelligence,information technology,problem solving,scripting,json,paas"
503,,,,,"kubernetes,linux,docker","terraform,communication,.net,amazon web services,devops,strategy,cloud computing,ansible,continuous integration,automation"
504,c#,,,,,"cloud computing,.net"
505,"javascript,c#",asp.net,,,,"object oriented programming,xml,.net,wcf,web applications,web services,angular,wpf,sql server,scalability"
506,java,,,,,
507,java,,,,,agile methodologies
508,,,,,,devops
509,,,,,,"cybersecurity,risk management,cism,security compliance,vulnerability,pci,sans,cissp"
510,,,,,,"vmware,servers,scripting,esxi,vsphere,cisco technologies,ucs (unified computing system,vcenter,disaster recovery,powershell,virtualization"
511,java,,,,,"team building,b testing,a"
512,"javascript,java",react.js,,,,"react native,a,ui development,css,testing,user interface,b testing,team building"
513,"sql,python",,,,,"management,leadership,agile methodologies"
