,Language,Framework,Database,OS,Platform,Others
59,"sql,java",spring,"cassandra,mongodb,oracle",,,"apis,jms,bss,statistics,safe,big data,web services,testing,sip,sql server,weblogic,iot,analysis,hibernate,management,jdbc,networking,voip,agile methodologies,apache,analytics,communication,devops,databases,j2ee,ajax,data visualization,debugging,jsf,optimization,business intelligence,jsp,project planning,ant,business process"
60,"python,r",,,,,"natural language processing,data mining,statistics,product management,big data,data warehousing,iot,analysis,management,agile methodologies,kafka,mathematics,analytics,security,data science,communication,hadoop,sas,devops,leadership,data visualization,machine learning,business intelligence,solr,computer science,b2b,tableau"
61,"javascript,java","jquery,spring","cassandra,oracle",,"ios,linux,android","firmware,jms,integration,maven,troubleshooting,performance testing,nosql,testing,jira,jenkins,react native,apache spark,analysis,algorithms,management,html5,kafka,embedded systems,rabbitmq,automation,apache,soa,wireless,devops,databases,j2ee,rest,operating systems,git,ethernet,monitoring,ip,information technology,computer hardware,solr,computer science,angular,business process,apigee"
62,"r,sql,python",,,,linux,"statistics,economics,big data,statistical modeling,analysis,management,deep learning,data analysis,data science,hadoop,communication,databases,machine learning,problem solving,computer science"
63,c#,,,windows,,"integration,technical support,team foundation server,system deployment,sccm,powershell,devops,analysis,windows server,.net,management,networking,continuous integration,automation,security,git,pki,scripting,ansible"
64,,,,,,"sap pp,sap mm"
65,,,,,,sap sd
66,c#,,,,,"node.js,optimization,oculus,amazon web services,augmented reality,unity3d,virtual reality"
67,,,,,,"business analysis,waterfall,scrum,product management,agile methodologies,saas,market research"
68,javascript,jquery,,,ios,"databases,mobile applications,mobile design,mobile application development"
69,,,,,,"cd,information security,security,ci,cism,agile methodologies,encryption,cloud computing,cicd,account management,cissp"
70,,,,,,"cisa,security,csm,cism,agile methodologies,pmp,program management,cissp"
71,python,,,,,"terraform,troubleshooting,big data,enterprise architecture,requirements gathering,business analysis,vmware,analysis,xml,system design,amazon web services,kafka,automation,analytics,security,data analysis,communication,rest,splunk,solution architecture,chef,clustering,ansible,puppet"
72,"python,sql",,,windows,,"unity,application development,troubleshooting,computer architecture,sql server,powershell,jenkins,storage,windows server,management,software architecture,windows azure,itil,automation,analytics,devops,pci,monitoring,chef,scripting,nist,json,visio,puppet"
73,,,,,,"product management,product development"
74,javascript,,,,,apis
75,sql,,,,,"analysis,hadoop,databases,finance"
76,"c,python,c++",,,windows,linux,"product management,testing,shell scripting,unix,management,physics,communication,mechanical engineering,test automation,quality assurance,computer science,scripting,unix shell scripting,r&d"
77,java,"jquery,spring","oracle,mysql",,,"integration,maven,bootstrap,troubleshooting,lan,nosql,css,gherkin,open source,jenkins,storage,analysis,hibernate,xml,management,it management,agile methodologies,html,continuous integration,automation,security,test driven development,data modeling,devops,databases,j2ee,rest,selenium,debugging,spring mvc,cucumber,information technology,angular,json,ansible"
78,python,,,,,"wireshark,forensics"
79,"java,c++,kotlin,c",,,,android,
80,,,,windows,linux,"integration,requirements analysis,troubleshooting,weblogic,sso,analysis,management,identity management,it management,scrum,security,communication,leadership,debugging,sharepoint,research,solaris,problem solving,servers,f5 load balancer"
81,,,,,kubernetes,"cloud computing,amazon web services,prometheus"
82,"javascript,java,sql",,,,,"apis,process improvement,black box testing,web services,testing,angularjs,qa engineering,test cases,management,automation,test automation,rest,selenium,protractor,debugging,quality assurance,cucumber,regression testing,research,defect tracking"
83,,,,,,"integration,consulting,pricing,business requirements,data warehousing,management,amazon web services,product management,saas,automation,communication,sas,strategy,product marketing,strategic planning,research,optimization,information technology,problem solving,marketing"
84,,,,,,"security,communication,management,amazon web services,problem solving,product management,strategy,networking,leadership,program management"
85,,,,,,robotic process automation
86,,,,,,"security,information security,application development,analysis,communication,computer science,cloud computing,web services,threat modeling,sans,testing,amazon web services,cissp"
87,"ruby,c,c++,python,java",,,,,"integration,consulting,process improvement,incident response,safe,security compliance,powershell,management,amazon web services,compliance,automation,security,information security,communication,network security,leadership,vulnerability,threat modeling,cryptography,computer science"
88,python,,,,"ios,linux","integration,perl,bash,systems engineering,kafka,shell scripting"
89,"sql,javascript,java",spring,,,,"object oriented programming,hibernate,j2ee"
90,,,,,,"active directory,security,saas,network administration,wireless,monitoring,routers,firewalls,networking,data center,switches,web services,amazon web services,windows azure,sso"
91,,,,,,"active directory,security,saas,monitoring,wireless,confluence,routers,firewalls,networking,data center,switches,web services,bamboo,jira,amazon web services,windows azure,sso"
92,"c++,c",,,,linux,"regression testing,integration,analysis,ip,computer science,multithreading,unit testing,tcp,trading,scripting,testing,continuous integration,ip,trading systems"
93,"javascript,c#",,,,,"analysis,management,.net,strategy,css,pmo,program management,html,business process,sharepoint,strategic planning"
94,"typescript,javascript,ruby",ruby on rails,,,,"angular,angularjs"
95,,,,,,"tibco,mulesoft,integration,business process,soa"
96,,,oracle,,,"solaris,switches,management,flash,data center,storage"
97,,,oracle,,,"solaris,switches,management,flash,data center,storage"
98,,,,,,"communication,technical support,troubleshooting,system administration,voip,sip"
99,,,,,,"integration,communication,leadership,.net,sharepoint"
100,java,,,,,"integration,communication,strategy,j2ee,leadership,it strategy,testing,agile methodologies,enterprise architecture,scrum,business process,disaster recovery,automation"
101,java,,,,,"kafka,springboot"
